,Duration,Start station number,End station number,Bike number,Member type
257,149,31104,31106,817,1
258,2448,31111,31108,804,0
259,751,31400,31201,814,1
260,736,31200,31100,424,1
261,312,31201,31200,933,1
262,81,31008,31008,523,1
263,1352,31107,31600,776,1
264,1200,31200,31203,615,1
265,3821,31101,31600,918,1
266,303,31201,31200,814,1
267,896,31600,31100,896,1
268,725,31100,31203,795,0
269,1054,31105,31200,674,0
270,491,31203,31600,728,1
271,1268,31107,31205,734,0
272,2713,31007,31209,724,1
273,1750,31207,31205,388,1
274,903,31109,31600,869,1
275,792,31400,31104,638,1
276,3452,31104,31200,427,0
277,805,31105,31200,656,1
278,148,31202,31201,532,1
279,278,31104,31104,806,1
280,1193,31104,31603,638,1
281,3238,31110,31100,463,0
282,3049,31110,31100,525,0
283,5478,31110,31600,233,0
284,5458,31110,31600,383,0
285,403,31203,31200,41,1
286,350,31011,31010,9,1
287,695,31007,31010,839,1
288,1251,31603,31200,638,1
289,599,31200,31201,933,0
290,579,31200,31201,501,1
291,551,31010,31002,9,1
292,288,31010,31012,583,1
293,780,31200,31204,674,1
294,981,31600,31100,728,1
295,1754,31603,31603,7,1
296,211,31106,31104,817,1
297,1436,31110,31205,401,0
298,6354,31110,31600,400,0
299,1322,31208,31208,737,1
300,750,31205,31200,761,1
301,2343,31206,31206,47,0
302,1016,31204,31600,690,0
303,1084,31007,31002,528,1
304,219,31009,31002,842,0
305,794,31201,31600,501,1
306,793,31201,31600,933,0
307,94,31003,31003,951,1
308,1730,31003,31010,951,1
309,1301,31009,31009,608,0
310,513,31200,31203,761,1
311,234,31101,31101,617,1
312,2082,31200,31106,638,1
313,571,31200,31203,814,1
314,1673,31108,31002,804,1
315,641,31107,31203,111,1
316,460,31110,31201,712,1
317,2191,31205,31200,897,1
318,920,31201,31600,532,1
319,386,31200,31205,655,0
320,832,31101,31106,768,1
321,815,31101,31106,617,1
322,719,31010,31008,951,1
323,1778,31400,31101,299,0
324,5136,31007,31001,917,0
325,376,31002,31009,842,0
326,1541,31002,31108,467,1
327,573,31203,31205,637,1
328,540,31209,31108,727,1
329,2759,31202,31600,778,0
330,2761,31202,31600,420,0
331,747,31201,31205,712,0
332,593,31203,31603,761,1
333,1477,31200,31603,427,1
334,596,31108,31209,270,1
335,1254,31200,31600,897,1
336,523,31000,31011,94,1
337,616,31203,31110,111,1
338,617,31106,31101,768,1
339,612,31106,31101,617,1
340,5786,31600,31110,400,0
341,448,31200,31201,836,1
342,317,31110,31200,111,1
343,4330,31205,31205,734,0
344,823,31203,31602,814,1
345,123,31003,31002,667,1
346,621,31104,31106,806,1
347,1538,31205,31104,614,1
348,1281,31107,31103,912,0
349,1525,31502,31502,663,0
350,1560,31401,31205,717,0
351,12812,31002,31002,436,0
352,673,31003,31003,682,1
353,925,31600,31202,383,1
354,578,31103,31107,625,0
355,668,31208,31208,737,0
356,1401,31101,31400,639,0
357,711,31600,31200,897,1
358,88,31204,31204,904,1
359,5196,31106,31604,747,0
360,633,31204,31200,674,1
361,5031,31106,31604,806,0
362,4169,31009,31009,632,0
363,1283,31200,31207,674,1
364,266,31111,31101,466,1
365,174,31011,31000,874,1
366,6432,31202,31203,383,0
367,6320,31202,31203,260,0
368,6176,31202,31203,689,0
369,458,31502,31500,663,1
370,274,31002,31009,206,1
371,253,31602,31401,406,0
372,573,31200,31111,897,1
373,435,31110,31205,400,1
374,473,31500,31502,663,1
375,1518,31208,31204,849,1
376,17000,31106,31104,166,0
377,1155,31600,31201,420,0
378,1126,31600,31201,943,0
379,477,31202,31212,905,1
380,3864,31106,31212,638,0
381,372,31600,31109,233,1
382,4323,31010,31002,280,0
383,516,31600,31203,778,1
384,1361,31208,31108,522,0
385,953,31008,31008,805,0
386,409,31111,31201,141,1
387,2028,31108,31007,718,1
388,1707,31208,31604,737,0
389,3627,31100,31100,525,0
390,849,31212,31103,905,1
391,1888,31600,31110,532,0
392,1817,31600,31110,776,0
393,1261,31213,31206,400,1
394,513,31101,31103,696,1
395,433,31100,31201,701,1
396,1284,31203,31105,778,1
397,1276,31203,31105,902,1
398,1409,31604,31602,806,1
399,331,31200,31201,641,1
400,1336,31600,31107,869,1
401,894,31206,31201,400,1
402,1777,31203,31202,383,1
403,1350,31205,31209,734,0
404,539,31203,31101,260,1
405,517,31604,31604,747,0
406,185,31105,31103,724,1
407,758,31205,31600,310,1
408,375,31203,31101,689,1
409,182,31005,31005,942,0
410,480,31204,31212,351,0
411,647,31108,31208,727,0
412,327,31203,31101,664,1
413,585,31111,31203,341,1
414,399,31110,31101,776,1
415,377,31604,31604,747,0
416,6558,31109,31109,163,0
417,640,31101,31401,299,1
418,930,31100,31600,822,1
419,313,31009,31007,842,0
420,1074,31200,31100,111,0
421,830,31602,31201,647,1
422,1453,31205,31006,712,1
423,1208,31600,31101,870,1
424,335,31401,31602,313,0
425,1527,31600,31106,690,0
426,2650,31012,31003,0,0
427,1490,31600,31106,311,0
428,546,31200,31201,665,1
429,216,31000,31003,865,1
430,2183,31009,31209,413,0
431,2538,31012,31003,848,0
432,371,31206,31100,47,0
433,1375,31108,31101,853,1
434,589,31212,31201,638,1
435,1948,31011,31209,676,0
436,227,31209,31209,270,1
437,1641,31206,31110,756,0
438,1630,31206,31110,823,0
439,1557,31600,31200,933,1
440,764,31602,31203,239,1
441,148,31202,31203,383,1
442,933,31104,31111,282,1
443,944,31104,31111,443,1
444,834,31101,31203,768,1
445,753,31100,31203,693,0
446,476,31203,31101,460,1
447,474,31108,31208,686,1
448,1070,31107,31203,625,1
449,531,31200,31203,656,1
450,3593,31602,31602,81,0
451,1190,31600,31200,310,1
452,677,31200,31206,263,1
453,13645,31204,31204,849,0
454,259,31004,31004,685,0
455,358,31201,31200,641,1
456,356,31201,31200,141,1
457,608,31205,31200,401,0
458,322,31205,31100,655,1
459,394,31201,31101,420,1
460,1215,31203,31110,768,1
461,1204,31203,31110,656,1
462,630,31104,31107,817,1
463,769,31202,31205,416,1
464,831,31104,31105,473,0
465,596,31205,31110,637,1
466,405,31111,31202,443,1
467,1489,31203,31107,239,1
468,2440,31100,31103,525,0
469,595,31100,31200,170,1
470,337,31401,31400,40,1
471,908,31104,31205,614,1
472,829,31205,31201,454,1
473,365,31202,31110,443,1
474,1596,31200,31103,141,0
475,2189,31209,31011,413,0
476,2369,31209,31009,270,0
477,3126,31108,31108,216,0
478,236,31200,31212,641,1
479,2904,31108,31108,522,0
480,181,31007,31011,654,1
481,730,31200,31111,310,1
482,196,31003,31000,901,1
483,188,31111,31111,282,1
484,355,31212,31201,351,0
485,202,31007,31011,911,0
486,507,31110,31111,443,1
487,395,31200,31203,933,1
488,882,31201,31600,351,1
489,311,31101,31201,689,1
490,847,31100,31110,463,0
491,812,31100,31110,644,0
492,359,31201,31212,400,0
493,1477,31203,31111,421,1
494,1876,31100,31108,111,0
495,530,31212,31213,641,1
496,921,31212,31111,400,1
497,438,31203,31203,341,1
498,1086,31205,31105,494,1
499,614,31200,31201,240,1
500,872,31200,31203,41,1
501,244,31203,31201,615,1
502,732,31101,31200,466,1
503,523,31206,31200,452,1
504,132,31203,31201,693,1
505,443,31201,31111,666,0
506,398,31200,31205,170,0
507,298,31107,31104,869,1
508,589,31205,31202,899,1
509,358,31200,31203,401,1
510,540,31105,31104,902,0
511,968,31203,31600,933,1
512,426,31101,31105,776,1
513,431,31101,31105,853,1
514,646,31200,31106,452,0
515,801,31400,31101,276,0
516,565,31104,31203,902,1
517,267,31007,31009,842,0
518,432,31103,31207,649,1
519,117,31201,31203,689,1
520,575,31100,31110,424,0
521,2008,31110,31110,768,0
522,1998,31110,31110,656,0
523,643,31201,31602,943,1
524,665,31104,31203,166,1
525,1014,31600,31207,351,1
526,1396,31205,31107,416,0
527,654,31201,31101,236,0
528,1161,31205,31401,830,1
529,835,31011,31009,856,0
530,138,31011,31011,930,1
531,725,31011,31009,413,0
532,5056,31201,31200,240,0
533,472,31111,31207,897,1
534,1007,31201,31600,454,1
535,555,31602,31400,814,0
536,477,31201,31200,836,1
537,324,31205,31200,717,0
538,509,31201,31201,615,0
539,1991,31202,31002,128,1
540,438,31000,31001,711,1
541,1937,31005,31201,843,1
542,788,31106,31106,452,1
543,652,31004,31006,681,1
544,1035,31105,31205,623,1
545,357,31005,31000,926,1
546,623,31007,31004,748,1
547,455,31200,31204,240,1
548,265,31009,31011,698,0
549,204,31009,31011,206,0
550,210,31004,31006,748,1
551,283,31006,31004,681,1
552,1281,31107,31110,817,1
553,281,31200,31212,466,1
554,673,31203,31104,41,1
555,118,31007,31002,230,1
556,1187,31107,31205,725,0
557,224,31401,31602,713,0
558,323,31103,31101,905,1
559,984,31201,31603,647,1
560,723,31400,31101,814,1
561,398,31200,31205,717,1
562,478,31207,31101,351,1
563,120,31202,31203,899,1
564,481,31203,31100,341,1
565,490,31401,31101,299,1
566,751,31103,31212,706,1
567,773,31604,31213,737,1
568,911,31111,31206,443,1
569,1296,31111,31206,421,1
570,391,31103,31101,391,1
571,868,31110,31100,424,0
572,361,31212,31204,466,0
573,726,31600,31205,454,1
574,1370,31108,31212,111,1
575,443,31107,31101,416,1
576,657,31104,31100,41,1
577,385,31101,31200,905,1
578,221,31104,31106,869,1
579,593,31101,31200,870,1
580,669,31201,31205,831,1
581,3181,31201,31208,843,0
582,334,31203,31200,902,1
583,495,31111,31200,666,1
584,945,31106,31602,452,1
585,1177,31203,31400,401,1
586,816,31602,31212,313,1
587,665,31101,31213,276,1
588,630,31110,31100,637,1
589,670,31103,31100,912,0
590,1055,31205,31104,614,1
591,1051,31603,31213,801,1
592,691,31203,31600,795,1
593,329,31203,31200,236,1
594,301,31101,31203,260,1
595,138,31111,31109,384,1
596,837,31105,31201,715,1
597,707,31106,31101,311,1
598,403,31201,31200,615,1
599,593,31111,31200,400,1
600,207,31104,31106,614,1
601,904,31201,31600,693,1
602,331,31107,31104,239,1
603,453,31009,31002,608,0
604,4871,31006,31006,879,0
605,956,31107,31200,688,0
606,429,31207,31101,897,1
607,678,31103,31104,277,1
608,1028,31206,31600,736,1
609,538,31103,31200,475,1
610,313,31203,31200,260,1
611,280,31801,31802,816,1
612,814,31101,31600,311,1
613,31948,31201,31213,665,1
614,551,31203,31205,899,1
615,525,31213,31600,501,1
616,732,31111,31200,941,1
617,440,31200,31205,688,0
618,1006,31600,31100,693,1
619,598,31101,31213,814,1
620,627,31109,31213,272,1
621,1021,31110,31100,756,0
622,1012,31110,31100,823,0
623,1129,31103,31205,696,1
624,236,31111,31101,282,1
625,204,31111,31101,310,1
626,479,31105,31201,473,1
627,269,31007,31004,303,1
628,174,31004,31007,681,1
629,3738,31201,31213,715,0
630,3570,31201,31213,638,0
631,625,31203,31600,625,1
632,23620,31100,31204,756,0
633,442,31201,31213,502,1
634,23549,31100,31204,424,0
635,346,31203,31200,166,1
636,1419,31100,31208,912,0
637,792,31101,31200,391,1
638,3212,31008,31204,523,0
639,7975,31011,31011,206,0
640,2327,31003,31003,848,1
641,229,31007,31011,718,0
642,347,31004,31012,685,1
643,3566,31012,31011,583,1
644,225,31100,31100,341,1
645,2387,31109,31213,671,1
646,224,31202,31101,895,1
647,449,31110,31205,532,1
648,798,31009,31000,659,1
649,337,31011,31004,94,1
650,732,31213,31600,641,1
651,2282,31400,31213,401,0
652,321,31200,31212,870,1
653,1212,31207,31205,674,1
654,1933,31206,31200,443,0
655,144,31000,31011,824,1
656,686,31000,31012,901,1
657,786,31600,31212,933,0
658,741,31002,31009,913,1
659,2861,31200,31212,391,0
660,297,31101,31111,897,1
661,294,31101,31111,282,1
662,874,31107,31111,358,1
663,155,31011,31011,824,1
664,940,31011,31011,718,0
665,956,31600,31600,736,1
666,762,31007,31001,684,1
667,1159,31201,31600,701,0
668,1162,31011,31011,824,1
669,569,31200,31101,260,1
670,1246,31007,31011,880,1
671,701,31205,31201,690,1
672,680,31011,31011,718,1
673,1070,31203,31203,383,1
674,808,31212,31600,313,0
675,177,31011,31000,911,1
676,171,31011,31000,698,1
677,280,31208,31208,843,1
678,191,31011,31011,824,1
679,457,31011,31007,630,1
680,3623,31104,31604,277,0
681,3580,31104,31604,285,0
682,1409,31106,31200,754,1
683,10226,31604,31604,747,0
684,311,31011,31007,206,1
685,310,31011,31007,930,1
686,7386,31003,31003,865,0
687,2656,31201,31206,690,0
688,7933,31604,31606,437,1
689,68,31000,31007,679,1
690,544,31204,31110,240,1
691,294,31007,31004,123,1
692,288,31007,31004,930,1
693,3008,31103,31213,724,0
694,788,31106,31201,614,0
695,626,31203,31110,689,1
696,186,31004,31007,930,1
697,524,31205,31200,725,0
698,132,31004,31007,94,1
699,852,31213,31213,401,1
700,9067,31009,31012,270,0
701,8984,31009,31012,913,0
702,392,31204,31212,55,1
703,1167,31104,31213,291,0
704,1029,31110,31200,644,0
705,323,31007,31011,94,1
706,308,31007,31011,679,1
707,979,31000,31000,926,0
708,200,31003,31008,857,0
709,742,31213,31101,502,0
710,281,31105,31101,853,1
711,728,31000,31000,659,0
712,785,31003,31006,682,0
713,737,31200,31100,902,1
714,1101,31000,31005,911,0
715,1417,31213,31103,724,0
716,585,31200,31111,666,1
717,873,31605,31607,446,0
718,339,31602,31400,526,0
719,718,31212,31204,55,1
720,660,31600,31203,701,1
721,1946,31205,31605,688,1
722,14721,31212,31212,391,0
723,844,31004,31010,292,0
724,1094,31205,31213,696,1
725,12546,31604,31203,285,0
726,755,31201,31600,473,1
727,14598,31212,31212,706,0
728,1654,31110,31212,656,1
729,841,31607,31208,668,0
730,306,31604,31600,521,1
731,296,31604,31600,277,1
732,356,31005,31007,864,0
733,332,31600,31604,501,1
734,309,31600,31604,822,1
735,615,31604,31109,394,1
736,11463,31205,31205,454,0
737,1803,31101,31400,762,0
738,4529,31002,31107,528,0
739,557,31202,31213,791,1
740,744,31213,31100,814,1
741,387,31213,31213,671,1
742,528,31103,31200,724,1
743,440,31200,31205,400,0
744,330,31400,31602,639,0
745,322,31602,31401,943,0
746,5992,31109,31200,163,0
747,1063,31605,31600,344,1
748,767,31103,31103,634,1
749,432,31110,31205,240,1
750,416,31212,31110,933,1
751,1062,31205,31108,831,1
752,636,31208,31605,686,0
753,381,31213,31201,671,1
754,549,31101,31103,351,1
755,786,31600,31207,344,1
756,539,31104,31111,239,1
757,244,31109,31111,384,1
758,632,31200,31101,724,0
759,2447,31212,31212,111,0
760,815,31104,31205,440,1
761,827,31103,31213,634,0
762,1776,31802,31801,888,1
763,2135,31011,31209,94,0
764,208,31212,31200,870,1
765,5063,31200,31200,615,1
766,1615,31600,31003,641,0
767,422,31007,31011,681,1
768,1008,31400,31600,40,1
769,6464,31212,31110,241,0
770,626,31600,31201,311,1
771,978,31600,31205,736,1
772,1407,31213,31600,634,0
773,6125,31212,31110,656,0
774,1434,31205,31201,240,0
775,294,31106,31104,869,0
776,3567,31103,31106,351,0
777,7580,31003,31003,865,0
778,3504,31103,31106,141,0
779,7394,31003,31003,848,0
780,419,31605,31607,12,1
781,984,31111,31107,897,1
782,303,31002,31009,804,1
783,198,31003,31008,641,0
784,721,31604,31201,501,1
785,1016,31104,31111,869,0
786,3585,31009,31009,804,0
787,5833,31204,31204,779,0
788,486,31213,31201,696,1
789,443,31212,31203,111,1
790,5473,31204,31204,466,0
791,479,31105,31201,915,1
792,708,31200,31111,644,1
793,5138,31201,31605,696,0
794,815,31205,31600,736,1
795,553,31602,31106,81,1
796,809,31101,31212,617,1
797,6564,31213,31103,638,0
798,171,31204,31204,904,1
799,628,31213,31101,791,1
800,814,31607,31209,360,1
801,534,31204,31212,849,0
802,930,31100,31600,341,1
803,1496,31204,31111,523,1
804,534,31103,31107,525,1
805,560,31202,31104,453,1
806,1122,31203,31105,278,1
807,253,31000,31003,874,1
808,468,31202,31201,412,1
809,1510,31213,31103,665,0
810,387,31200,31203,754,1
811,473,31100,31201,889,1
812,393,31200,31201,443,1
813,432,31108,31209,831,1
814,176,31104,31106,453,1
815,953,31201,31200,614,1
816,535,31205,31200,400,0
817,805,31600,31101,40,1
818,1028,31603,31202,427,1
819,1544,31213,31605,801,0
820,1128,31600,31101,473,1
821,776,31213,31604,276,1
822,1427,31400,31200,762,0
823,359,31204,31212,55,1
824,757,31110,31200,689,1
825,326,31110,31200,463,1
826,705,31205,31201,717,0
827,935,31110,31107,768,1
828,752,31101,31106,260,1
829,665,31600,31200,918,1
830,503,31201,31111,311,1
831,276,31109,31111,708,1
832,984,31203,31400,285,1
833,758,31200,31104,166,1
834,1235,31106,31106,141,1
835,313,31213,31212,715,1
836,716,31103,31110,665,1
837,1179,31204,31600,904,1
838,757,31605,31605,696,0
839,766,31201,31212,915,0
840,373,31105,31207,456,1
841,372,31105,31111,349,1
842,407,31200,31201,762,1
843,251,31111,31202,239,1
844,349,31213,31205,291,1
845,315,31107,31104,603,1
846,334,31010,31009,839,0
847,781,31212,31204,55,1
848,468,31101,31104,473,1
849,765,31202,31105,239,1
850,624,31201,31600,762,1
851,882,31203,31401,111,1
852,102,31203,31201,383,1
853,885,31602,31602,459,0
854,738,31106,31602,141,0
855,932,31205,31201,291,1
856,1788,31606,31108,437,0
857,979,31205,31104,440,1
858,563,31203,31101,701,1
859,485,31106,31602,81,1
860,1459,31008,31001,946,0
861,1328,31008,31001,641,0
862,787,31200,31101,870,1
863,560,31205,31110,454,1
864,831,31111,31103,41,1
865,721,31600,31201,762,1
866,666,31200,31101,941,1
867,1196,31213,31103,737,0
868,714,31600,31203,904,0
869,664,31600,31203,521,0
870,631,31202,31202,598,1
871,819,31201,31104,412,1
872,4492,31108,31200,467,0
873,1109,31101,31500,724,1
874,510,31605,31605,460,1
875,1392,31212,31401,617,1
876,41122,31212,31603,391,0
877,8676,31001,31008,917,0
878,8668,31001,31008,873,0
879,303,31200,31212,163,1
880,3831,31600,31600,634,0
881,400,31101,31101,310,1
882,284,31104,31105,473,1
883,196,31101,31111,40,1
884,549,31201,31101,717,1
885,550,31111,31600,358,0
886,1114,31600,31108,625,1
887,1109,31600,31108,313,1
888,349,31105,31207,182,1
889,1825,31200,31400,615,0
890,384,31205,31200,388,0
891,794,31104,31103,412,1
892,1331,31209,31600,94,1
893,633,31101,31107,723,1
894,659,31209,31108,360,1
895,410,31011,31010,679,1
896,294,31602,31400,452,0
897,462,31103,31203,586,1
898,489,31010,31000,167,1
899,444,31105,31202,473,1
900,200,31212,31200,906,1
901,928,31111,31205,40,1
902,603,31101,31207,895,1
903,604,31101,31207,701,1
904,896,31106,31103,260,1
905,253,31007,31011,630,0
906,989,31600,31104,795,0
907,593,31604,31203,254,1
908,3356,31100,31201,902,0
909,803,31400,31104,615,1
910,605,31107,31106,776,0
911,614,31104,31212,440,1
912,438,31103,31111,41,1
913,541,31104,31101,603,1
914,276,31013,31004,892,0
915,349,31101,31104,310,1
916,720,31104,31400,615,1
917,2814,31013,31200,640,0
918,305,31107,31104,778,1
919,476,31104,31107,166,1
920,600,31201,31600,671,1
921,2358,31009,31009,804,1
922,572,31200,31204,463,1
923,622,31107,31110,768,1
924,167,31011,31007,583,0
925,252,31401,31602,943,0
926,545,31103,31203,260,1
927,610,31103,31212,737,1
928,282,31400,31602,452,1
929,1101,31111,31204,523,1
930,642,31007,31009,732,1
931,535,31401,31101,806,1
932,1060,31603,31208,761,1
933,2280,31108,31208,625,0
934,341,31602,31101,459,1
935,1604,31606,31213,955,1
936,36484,31104,31104,310,0
937,422,31007,31000,698,1
938,539,31105,31200,494,1
939,384,31207,31101,456,1
940,664,31101,31212,853,0
941,1240,31106,31602,351,1
942,720,31600,31205,358,1
943,678,31400,31600,285,1
944,785,31606,31108,226,1
945,3869,31107,31003,166,1
946,385,31101,31200,806,0
947,987,31105,31204,239,1
948,317,31203,31213,586,1
949,577,31202,31100,427,1
950,459,31203,31101,260,1
951,945,31400,31200,615,0
952,421,31104,31101,795,1
953,810,31103,31213,412,0
954,1232,31201,31110,889,1
955,1008,31105,31204,190,0
956,683,31201,31205,501,1
957,24343,31111,31212,384,1
958,1349,31600,31600,736,0
959,623,31203,31604,904,1
960,940,31607,31108,446,1
961,584,31101,31212,795,1
962,315,31200,31100,614,1
963,1459,31101,31502,603,1
964,854,31204,31600,55,1
965,884,31600,31200,671,0
966,429,31110,31203,454,1
967,207,31200,31212,467,1
968,1609,31103,31605,638,0
969,691,31105,31203,278,1
970,253,31104,31110,778,1
971,26866,31200,31101,400,0
972,190,31111,31101,823,1
